abaza	value
Адзхъарффара	А-дз-хъа-р-[ффа]-ра\nперех.\nстричь что-л. рядом с кем, чем-н.\nЙхъабра адзхъалырффатI (й-а-дз-хъа-лы-р-ффа-тI). Аб. Т. Она остригла его волосы рядом с тем.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1212
Адзхъархъара	А-дз-хъа-р-[хъа]-ра\nперех.\nнатянуть что-л. рядом с кем, чем-н.\nЙ-ры-дз-хъа-ды-р-хъа-тI. Аб. Т. Они натянули то рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1213
Адзхъарыхъвара	А-дз-хъа-ры-[хъва]-ра\nперех.\nгнуть, перегнуть что-л. рядом с кем, чем-н.\nАйхацIа рыдзхъадрыхъватI (й-ры-дз-хъа-д-ры-хъва-тI). Аб. Т. Они перегнули проволоку рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1214
АдзхъарчIаджьра	А-дз-хъа-р-[чIаджь]-ра\nперех.\nчинить, ремонтировать что-л. рядом с кем, чем-н.\nАуандыр ажьира й-а-дз-хъа-ды-р-чIаджь-уан. Аб. Т, Они подводу ремонтировали рядом с кузницей,\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1215
АдзхъарчIвачIвара	А-дз-хъа-р-[чIвачIва]-ра\nперех.\nлепить что-л. рядом с кем, чем-н.\nАнышв абора й-а-дз-хъа-лы-р-чIвачIв-ун. Аб. Т. Она лепила глину рядом с сараем.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1216
Адзхъарыбагъьара	А-дз-хъа-ры-[багъьа]-ра\nперех.\nукреплять что-л. рядом с кем, чем-н.\nАгвашв й-а-дз-хъа-й-ры-багъьа-тI. Аб. Т. Он укрепил калитку рядом с подпоркой.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1217
Адзхъарысра	А-дз-хъа-ры-[с]-ра\nперех.\nвбить что-л. рядом с чем-н.\nАчIвгIван агвара й-а-дз-хъа-й-ры-с-тI. Аб. Т. Он вбил кол рядом с забором. \nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1218
Адзхъарыхвхвра	А-дз-хъа-ры-[хвхв]-ра\nперех.\nпросверлить что-л. рядом с кем, чем-н. \nЛартакI адзхъайрыхвхвтI (й-а-дз-хъа-й-ры-хвхв-тI). Аб. Т. Он просверлил отверстие рядом с тем.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1219
Адзхъарыхъвашара	А-дз-хъа-ры-[хъваша]-ра\nперех.\nразбить кого, что-л. рядом с кем, чем-н.\nАчIвыца адзхъадрыхъвашатI (й-а-дз-хъа-д-ры-хъваша-тI). Аб. Т. Они разбили стекло рядом с тем.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1220
Адзхъарыцкьара	А-дз-хъа-ры-[цкьа]-ра\nперех.\nочистить что-л. рядом с кем, чем-н.\nЙ-ры-дз-хъа-д-ры-цкьа-тI. Аб. Т. Они очистили то рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1221
Адзхъасара (1)	А-дз-хъа-[са]-ра\nперех.\nстричь кого, что-л. рядом с кем, чем-н.\nАуасаква атдзы й-а-дз-хъа-р-с-ун. Аб. Т. Они стригли овец около дома.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1222
Адзхъасара (2)	А-дз-хъа-[са]-ра\nперех.\nкроить что-л. рядом с кем, чем-н.\nАс рыдзхъалсатI (й-ры-дз-хъа-л-са-тI). Аб. Т. Она раскроила сорочку рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1223
Адзхъасра	А-дз-хъа-[с]-ра\nнеперех.\nдотронуться, ударить сбоку\nДгьымчатI, ахъазыкI д-а-дз-хъа-сы-н дджвылцIхтI. Аб. Т. Он и не поел, просто дотронувшись (сбоку пищу), вышел из помещения.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1224
АдзхъатIтIара	А-дз-хъа-[тIтIа]-ра\nнеперех.\nвылиться, литься (о густой массе) рядом с кем, чем-л.\nЙпаз амажвадза айшва й-а-дз-хъа-тIтIа-тI. Аб. Т. Поспевшее тесто вылилось рядом со столом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1225
Адзхъауыура	А-дз-хъа-[уыу]-ра\nнеперех.\nвыть рядом с кем, чем-л.\nАквыджьма ахIатшпы й-а-дз-хъа-уыуа-н. Аб. Т. Волк выл рядом с пещерой.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1226
Адзхъахра (1)	А-дз-хъа-[х]-ра\nперех.\nкосить (траву) рядом с кем, чем-л.\nАгьаба йашIахыз ахIвра пшдзата й-а-дз-хъа-й-х-тI. Аб. Т. Он красиво выкосил (рядом с чем-то выкосил) траву, которая оставалась еще на склоне.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1227
Адзхъахра (2)	А-дз-хъа-[х]-ра\nперех.\nтолочь что-л. рядом с кем, чем-н.\nАджьыкIа адзхъархуан (й-а-дз-хъа-р-х-уан). Аб. Т. Они растолкли соль рядом с чем-то.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1228
Адзхъахра (3)	А-дз-хъа-[х]-ра\nперех.\nточить что-л. рядом с кем, чем-н.\nАтшбыгква атып й-а-дз-хъа-р-х-уан. Аб. Т. Они точили косы рядом с шалашом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1229
Адзхъаххра (1)	А-дз-хъа-[хх]-ра\nнеперех.\nподбежать, подбегать к кому, чему-л.\nБатарби зынла ауи д-на-йы-дз-хъа-хх-тI. Ком., 27.УП.1985, 6. Батарби быстро подбежал к нему.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1230
Адзхъаххра (2)	А-дз-хъа-[хх]-ра\nперех.\nразрезать что-л. около кого, чего-н. на мелкие куски\nАшв рыдзхъалххуан (й-ры-дз-хъа-л-хх-уан). Аб. Т. Она около них разрезала еыр на мелкие куски.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1231
АдзхъахчIра	А-дз-хъа-[хчI]-ра\nнеперех.\nразбиться рядом с кем, чем-л.\nАцIыкв айшва й-а-дз-хъа-хчI-тI. Аб. Т. Кувшин разбился рядом со столом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1232
Адзхъахысра	А-дз-хъа-[хы]-сра\nнеперех.\nстрелять рядом с кем, чем-л.\nАцIла д-а-дз-хъа-хы-с-тI. Аб. Т. Он выстрелил рядом с деревом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1233
Адзхъахвхвара	А-дз-хъа-[хвхва]-ра\nнеперех.\nкапать (о жидкости) рядом с кем, чем-л.\nАдзачкIвара рыдзхъахвхвун (й-ры-дз-хъа-хвхв-ун). Аб. Т. Струи воды (капли воды) капали рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1234
АдзхъахIара	А-дз-хъа-[хIа]-ра\nнеперех.\nприлечь рядом с чем-л.\nАдиван д-а-дз-хъа-хIа-тI. Аб. Т. Он прилег рядом с диваном,\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1235
АдзхъахIвара	А-дз-хъа-[хIва]-ра\nперех.\nтащить, подтащить кого, что-л. к кому, чему-н.\nАчва абора й-а-дз-хъа-р-хIва-тI. Аб. Т. Они подтащили сено к сараю.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1236
Адзхъацара	А-дз-хъа-[ца]-ра\nперех.\nвогнать что-л. рядом с чем-л.; гнать кого, что-л. рядом с кем, чем-н.\nАчвгIван агвара й-а-дз-хъа-й-ца-тI. Аб. Т. Он вогнал кол рядом с забором.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1237
АдзхъацIара (2)	А-дз-хъа-[цIа]-ра\nнеперех.\nснести (яйцо) рядом с чем-л.\nАквтIу агвара й-а-дз-хъа-цIа-тI. Аб. Т. Курица снесла (яйцо) рядом с забором.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1238
АдзхъацIгIара	А-дз-хъа-[цIгIа]-ра\nперех.\nзасолить что-л. рядом с чем-н.\nАдзи ажвгIвымсакъьи адзхъайцIгIатI (й-а-дз-хъа-й-цIгIа-тI). Аб. Т. Он засолил ребра и лопатку (мясо) рядом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1239
Адзхъачпара	А-дз-хъа-[чпа]-ра\nперех.\nприделать что-л. рядом с чем-н.\nАтдзы нашылырта адзхъарчпатI (й-а-дз-хъа-р-чпа-тI) Аб. Т. Они к дому приделали крыльцо.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1240
Адзхъачвра (1)	А-дз-хъа-[чв]-ра\nнеперех.\nспать, заснуть рядом с кем, чем-л.\nДгIапсан ацIла д-а-дз-хъа-чв-тI. Аб. Т. Устав, он заснул рядом с деревом.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1241
Адзхъачвра (2)	А-дз-хъа-[чв]-ра\nперех.\nстрогать, тесать (дерево) рядом с кем, чем-л.\nАмшIы аджьанах й-а-дз-хъа-й-чв-уан. Аб. Т. Он строгал дерево рядом с санями.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1242
Адзхъачвара	А-дз-хъа-[чва]-ра\nперех.\nвылить, подлить (жидкость) к чему-л.\nАдзы ацIла й-а-дз-хъа-р-чва-тI. Аб. Т. Они воду вылили к дереву.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1243
Адзхъачвагъвара (1)	А-дз-хъа-[чвагъва]-ра\nнеперех.\nвспахать, пахать рядом с кем, чем-л.\nД-а-дз-хъа-чвагъв-ун. Аб. Т. Он пахал с тем.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1244
Адзхъачвагъвара (2)	А-дз-хъа-[чвагъва]-ра\nперех.\nвспахать, пахать что-л. рядом с кем, чем-л.\nАдгьыл рыдзхъайчвагъвун (й-р-ы-дз-хъа-й-чвагъв-ун). Аб. Т. Он пахал землю рядом с ними.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1245
АдзхъачIра (1)	А-дз-хъа-[чI]-ра\nнеперех.\nжарить, рядом с чем-л.\nАуи д-а-дз-хъа-чI-уан. Аб. Т. Он жарил рядом с тем.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1246
АдзхъачIра (2)	А-дз-хъа-[чI]-ра\nперех.\nжарить что-л. рядом с чем-л.\nАжьы абаста й-а-дз-хъа-л-чI-уан. Аб. Т. Она жарила мясо рядом с бастой (кашей).\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1247
АдзхъачIыгвра	А-дз-хъа-[чIыгв]-ра\nперех.\nзабить, закрыть (отверстие, щель) рядом с чем-л.\nАпша гIаджвыквмылскIва акIынхIара адзхъайчIыгвуан (й-а-дз-хъа-й-чIьгв-уан). Пока не начался ветер, он забивал отверстие рядом с чем-то.\nПРЕВЕРБ дза-хъа+ КОРНИ\nКлычев, с. page\n1248
